Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Activewear clothing features (product.metafields.shopify.activewear-clothing-features),Activity (product.metafields.shopify.activity),Age group (product.metafields.shopify.age-group),Bag/Case material (product.metafields.shopify.bag-case-material),Clothing features (product.metafields.shopify.clothing-features),Color (product.metafields.shopify.color-pattern),Fabric (product.metafields.shopify.fabric),Fit (product.metafields.shopify.fit),Neckline (product.metafields.shopify.neckline),Pants length type (product.metafields.shopify.pants-length-type),Size (product.metafields.shopify.size),Sleeve length type (product.metafields.shopify.sleeve-length-type),Target gender (product.metafields.shopify.target-gender),Top length type (product.metafields.shopify.top-length-type),Waist rise (product.metafields.shopify.waist-rise),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
baggy-unisex-wide-leg-summer-sweatpants-black-copy,,,,,,,,,l,,,,,,,,BG-SWT-BLK-L,100.0,shopify,2,deny,manual,999.00,,true,false,,,,,'11904141772470,https://cdn.shopify.com/s/files/1/0609/9238/9206/files/hf_20260516_215107_3f83cd64-8965-4afe-b0e0-2873825966e3_1.png?v=1778968358,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
baggy-unisex-wide-leg-summer-sweatpants-black-copy,,,,,,,,,xl,,,,,,,,BG-SWT-BLK-XL,100.0,shopify,1,deny,manual,999.00,,true,false,,,,,'11904141805238,https://cdn.shopify.com/s/files/1/0609/9238/9206/files/hf_20260516_214958_68883bed-b1c6-424f-a3de-dae9f3fb180c.png?v=1778968322,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
square-neck-short-sleeve-top,Square Neck Short Sleeve Top,"<p>Designed to contour your body without feeling tight, our Round Neck Short Sleeve Top is a modern essential. Made from soft, stretchy double layered cotton that stays comfortable all day.</p>
<p>Design: Double layered square neck <br>Fabric Type: 90% cotton, 10% lycra<br>Fit: Body Contouring<br>Gender: Women</p>
<p>Model is 164 cm, wearing size small</p>
<p> </p>
<p><img src=""https://cdn.shopify.com/s/files/1/0609/9238/9206/files/4_34bf797a-b517-4b20-8a94-90659f2634ee.png?v=1778348533"" alt=""""></p>",Leveld,Apparel & Accessories > Clothing > Clothing Tops > Tank Tops,Short Sleeve Top,"Basic, New",true,Size,s,product.metafields.shopify.size,,,,,,,SS-BTP-BLK-S,100.0,shopify,8,deny,manual,450.00,,true,false,,,,,'57092182,https://cdn.shopify.com/s/files/1/0609/9238/9206/files/35_e33aaa3e-e14b-4666-a117-c8d0830a2e6e.png?v=1778871801,1,"",false,,,212,,,,,,,,,,,,,,,,,stretchable,black,cotton,,round,,s; m; l; xl,short,,,,,,,,,kg,,,active
square-neck-short-sleeve-top,,,,,,,,,m,,,,,,,,SS-BTP-BLK-M,100.0,shopify,9,deny,manual,450.00,,true,false,,,,,'57124950,https://cdn.shopify.com/s/files/1/0609/9238/9206/files/Untitleddesign_2_ggg.png?v=1778871804,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
square-neck-short-sleeve-top,,,,,,,,,l,,,,,,,,SS-BTP-BLK-L,100.0,shopify,10,deny,manual,450.00,,true,false,,,,,'57157718,https://cdn.shopify.com/s/files/1/0609/9238/9206/files/36_4ea2493c-9af4-4009-a54d-996418492746.png?v=1778871803,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
square-neck-short-sleeve-top,,,,,,,,,xl,,,,,,,,SS-BTP-BLK-XS,100.0,shopify,9,deny,manual,450.00,,true,false,,,,,'57059414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
oversized-heavy-unisex-t-shirt-blue,Oversized Unisex T-Shirt - Blue,"<p>Elevate your wardrobe with the Light-Weight Boxy Unisex T-Shirt. Built to last beyond the season, made out of 100% cotton with a Light, premium feel. Designed for comfort and everyday wear.</p>
<p>High Quality: 100% Parasola Cotton<br>Fabric weight: 180 GSM<br>Fit: Oversized fit<br>Gender: Unisex</p>
<p><strong>Size Chart</strong><strong><img src=""https://cdn.shopify.com/s/files/1/0609/9238/9206/files/Size_Chart_Template_4.png?v=1776815042"" alt=""""></strong></p>",Leveld,Apparel & Accessories > Clothing > Clothing Tops > T-Shirts,Basic Oversized T-Shirt,Basic,true,Size,s,product.metafields.shopify.size,,,,,,,,100.0,,0,deny,manual,599.00,,true,false,,,,,,https://cdn.shopify.com/s/files/1/0609/9238/9206/files/OversizedLightweightBlue_1_313ba17b-0e44-48bd-b9c8-0851c163eca9.png?v=1778871811,1,"",false,,,,,adult,,,,,,,,,,,,,adults,,,blue,cotton,,crew,,s; m; l; xl; 2xl,short,unisex,medium,,,,,,,kg,,,active
oversized-heavy-unisex-t-shirt-blue,,,,,,,,,m,,,,,,,,,100.0,,-1,deny,manual,599.00,,true,false,,,,,,https://cdn.shopify.com/s/files/1/0609/9238/9206/files/OversizedLightweightBlue_2_07269a67-7b96-4392-86ef-87c03731dd3d.png?v=1778871808,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
oversized-heavy-unisex-t-shirt-blue,,,,,,,,,l,,,,,,,,,100.0,,-2,deny,manual,599.00,,true,false,,,,,,https://cdn.shopify.com/s/files/1/0609/9238/9206/files/OversizedLightweightBlue_3_02d3cf85-7f4b-4566-8556-6b61ddd5dda7.png?v=1778871810,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
oversized-heavy-unisex-t-shirt-blue,,,,,,,,,xl,,,,,,,,,100.0,,-3,deny,manual,599.00,,true,false,,,,,,https://cdn.shopify.com/s/files/1/0609/9238/9206/files/OversizedLightweightBlue_7_dfef43ce-4963-4fe5-8442-1c5b5ff54e5f.png?v=1778871812,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
oversized-heavy-unisex-t-shirt-blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0609/9238/9206/files/OversizedLightweightBlue_4_df8b35f0-4854-4440-8fff-e8b581f6a97d.png?v=1778871812,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oversized-heavy-unisex-t-shirt-blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0609/9238/9206/files/OversizedLightweightBlue_5_d60fac71-532a-473b-8c85-ac987f30ab64.png?v=1778871813,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heather-grey-unisex-regular-summer-shorts-copy,White Unisex Regular Summer Shorts,"<p>Beat the heat in style with our <em data-start=""222"" data-end=""254"">Essential Cotton Summer Shorts</em> – crafted from 100% premium cotton for ultimate breathability, softness, and durability. These are not your average shorts. With a relaxed, oversized fit and clean finish, they’re designed for movement, comfort, and all-day wear. Whether you're out on a sunny stroll or chilling with friends, these shorts flex with your vibe.</p>",Leveld,Apparel & Accessories > Clothing > Shorts > Jogger Shorts,Regular Shorts,Basic,false,Size,s,product.metafields.shopify.size,,,,,,,LV-4-HGURSS-S,100.0,,0,deny,manual,700.00,,true,false,,,,,'81407318,https://cdn.shopify.com/s/files/1/0609/9238/9206/files/5_14a5ca1e-63c2-41a9-a327-5caa7c7a8dbd.png?v=1778871819,1,"",false,,,,,adult,,,,,,,,,,,,,adults,,,,cotton,,,,s; m; l; xl; 2xl,,unisex,,,,,,,,kg,,,draft
heather-grey-unisex-regular-summer-shorts-copy,,,,,,,,,m,,,,,,,,LV-4-HGURSS-M,100.0,,0,deny,manual,700.00,,true,false,,,,,'81440086,https://cdn.shopify.com/s/files/1/0609/9238/9206/files/6_f2cc0244-ac04-4e87-8874-aa8a95984c8e.png?v=1778871827,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
heather-grey-unisex-regular-summer-shorts-copy,,,,,,,,,l,,,,,,,,LV-4-HGURSS-L,100.0,,0,deny,manual,700.00,,true,false,,,,,'81472854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
heather-grey-unisex-regular-summer-shorts-copy,,,,,,,,,xl,,,,,,,,LV-4-HGURSS-XL,100.0,,0,deny,manual,700.00,,true,false,,,,,'81505622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
heather-grey-unisex-regular-summer-shorts-copy,,,,,,,,,2xl,,,,,,,,LV-4-HGURSS-2XL,100.0,,0,deny,manual,700.00,,true,false,,,,,'81538390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
ringer-baby-tee-pink,Ringer Baby Tee - Pink,"<p>A fitted everyday essential designed to contour the body with ease. Crafted from soft, premium cotton with a smooth, breathable feel. Cut in a baby tee silhouette for a close fit that blends casual comfort with a clean, modern finish.<br></p>
<p> </p>
<p>High Quality: 95% Cotton - 5% Lycra<img><br>Fabric weight: 260 GSM<br>Fit: Body Contouring<br>Gender: Women</p>
<h4>Size Chart:</h4>
<p> </p>
<p><img src=""https://cdn.shopify.com/s/files/1/0609/9238/9206/files/Size_Chart_Template_fe1ba577-3b98-416b-8633-2d57ea3816ff.png?v=1775255941"" alt=""""></p>",Leveld,Apparel & Accessories > Clothing > Clothing Tops > T-Shirts,Ringer Baby Tee,"Basic, New",true,Size,S,,,,,,,,,0.0,shopify,16,deny,manual,499.00,,true,false,,,,,"",https://cdn.shopify.com/s/files/1/0609/9238/9206/files/44_5f1caf15-b765-4280-a059-076bae3c7d61.png?v=1776718485,1,"",false,,,212,,adult,,,,,,,,,,,,,adults,,stretchable,pink,cotton,,wide,,s; m; l; xl,short,female,crop-top,,,,,,,kg,,,active
ringer-baby-tee-pink,,,,,,,,,M,,,,,,,,,0.0,shopify,17,deny,manual,499.00,,true,false,,,,,"",https://cdn.shopify.com/s/files/1/0609/9238/9206/files/45_d6039793-8e0f-4837-ae87-b894c7be6494.png?v=1776718485,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
ringer-baby-tee-pink,,,,,,,,,L,,,,,,,,,0.0,shopify,17,deny,manual,499.00,,true,false,,,,,"",https://cdn.shopify.com/s/files/1/0609/9238/9206/files/46_cc7c7d68-b2ba-4a7d-ae31-c7f525db615b.png?v=1776718485,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
ringer-baby-tee-pink,,,,,,,,,XL,,,,,,,,,0.0,shopify,18,deny,manual,499.00,,true,false,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
ringer-baby-tee-yellow,Ringer Baby Tee - Yellow,"<p>A fitted everyday essential designed to contour the body with ease. Crafted from soft, premium cotton with a smooth, breathable feel. Cut in a baby tee silhouette for a close fit that blends casual comfort with a clean, modern finish.<br></p>
<p> </p>
<p>High Quality: 95% Cotton - 5% Lycra<img><br>Fabric weight: 260 GSM<br>Fit: Body Contouring<br>Gender: Women</p>
<h4>Size Chart:</h4>
<p> </p>
<p><img src=""https://cdn.shopify.com/s/files/1/0609/9238/9206/files/Size_Chart_Template_fe1ba577-3b98-416b-8633-2d57ea3816ff.png?v=1775255941"" alt=""""></p>",Leveld,Apparel & Accessories > Clothing > Clothing Tops > T-Shirts,Ringer Baby Tee,"Basic, New",true,Size,S,,,,,,,,,0.0,,-5,deny,manual,499.00,,true,false,,,,,,https://cdn.shopify.com/s/files/1/0609/9238/9206/files/41_190f887e-aaef-42ba-b6e9-59b7db0accd7.png?v=1776718406,1,"",false,,,212,,adult,,,,,,,,,,,,,adults,,stretchable,yellow,cotton,,wide,,s; m; l; xl,short,female,crop-top,,,,,,,kg,,,active
ringer-baby-tee-yellow,,,,,,,,,M,,,,,,,,,0.0,,-10,deny,manual,499.00,,true,false,,,,,,https://cdn.shopify.com/s/files/1/0609/9238/9206/files/42_82979881-0145-41dd-98d7-5001cf611550.png?v=1776718406,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
ringer-baby-tee-yellow,,,,,,,,,L,,,,,,,,,0.0,shopify,15,deny,manual,499.00,,true,false,,,,,"",https://cdn.shopify.com/s/files/1/0609/9238/9206/files/43_fb10d0a8-b3b1-49d2-b6c2-1fe1b0f1a67d.png?v=1776718406,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
ringer-baby-tee-yellow,,,,,,,,,XL,,,,,,,,,0.0,shopify,19,deny,manual,499.00,,true,false,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
relaxed-fit-polo-t-shirt-dark-green,Relaxed Fit Polo T-Shirt - Dark Green,"<p>An everyday essential with a clean edge. Built for comfort, made out of 100% cotton with a breathable, structured feel. Designed for a relaxed fit and an elevated everyday look.</p>
<p>High Quality: 100% Cotton<br>Fabric weight: 280 GSM<br>Fit: Relaxed fit<br>Gender: Men</p>
<h4>
<strong>Size Chart </strong><strong></strong>
</h4>
<p> </p>
<p><strong><img src=""https://cdn.shopify.com/s/files/1/0609/9238/9206/files/Size_Chart_Template_3.png?v=1775070884"" alt=""""></strong></p>
<p> </p>",Leveld,Apparel & Accessories > Clothing > Clothing Tops > T-Shirts,Polo T-Shirts,Basic,true,Size,s,product.metafields.shopify.size,,,,,,,RG-PO-TS-BRG-S,100.0,,-1,deny,manual,650.00,,true,false,,,,,,https://cdn.shopify.com/s/files/1/0609/9238/9206/files/41_8d5fe8e9-5553-48de-8182-28877fa2344e.png?v=1776631990,1,"",false,,,212,,adult,,,,,,,,,,,,,adults,,,green,cotton,,,,s; m; l; xl; 2xl,short,unisex,medium,,,,,,,kg,,,active
relaxed-fit-polo-t-shirt-dark-green,,,,,,,,,m,,,,,,,,RG-PO-TS-BRG-M,100.0,,0,deny,manual,650.00,,true,false,,,,,,https://cdn.shopify.com/s/files/1/0609/9238/9206/files/42_b66e1257-4963-4b8b-a072-c07ae9af6448.png?v=1776631990,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
relaxed-fit-polo-t-shirt-dark-green,,,,,,,,,l,,,,,,,,RG-PO-TS-BRG-L,100.0,,-1,deny,manual,650.00,,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
relaxed-fit-polo-t-shirt-dark-green,,,,,,,,,xl,,,,,,,,RG-PO-TS-BRG-XL,100.0,shopify,49,deny,manual,650.00,,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
relaxed-fit-polo-t-shirt-dark-green,,,,,,,,,2xl,,,,,,,,RG-PO-TS-BRG-2XL,100.0,shopify,48,deny,manual,650.00,,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
relaxed-fit-polo-t-shirt-white,Relaxed Fit Polo T-Shirt - White,"<p>An everyday essential with a clean edge. Built for comfort, made out of 100% cotton with a breathable, structured feel. Designed for a relaxed fit and an elevated everyday look.</p>
<p>High Quality: 100% Cotton<br>Fabric weight: 280 GSM<br>Fit: Relaxed fit<br>Gender: Men</p>
<h4>
<strong>Size Chart </strong><strong></strong>
</h4>
<p> </p>
<p><strong><img src=""https://cdn.shopify.com/s/files/1/0609/9238/9206/files/Size_Chart_Template_3.png?v=1775070884"" alt=""""></strong></p>
<p> </p>",Leveld,Apparel & Accessories > Clothing > Clothing Tops > T-Shirts,Polo T-Shirts,Basic,true,Size,s,product.metafields.shopify.size,,,,,,,RG-PO-TS-BRG-S,100.0,,-1,deny,manual,650.00,,true,false,,,,,,https://cdn.shopify.com/s/files/1/0609/9238/9206/files/38_1ad5cf1b-1b7a-4433-b38c-cbc633e165dd.png?v=1776631855,1,"",false,,,212,,adult,,,,,,,,,,,,,adults,,,,cotton,,,,s; m; l; xl; 2xl,short,unisex,medium,,,,,,,kg,,,active
relaxed-fit-polo-t-shirt-white,,,,,,,,,m,,,,,,,,RG-PO-TS-BRG-M,100.0,shopify,19,deny,manual,650.00,,true,false,,,,,"",https://cdn.shopify.com/s/files/1/0609/9238/9206/files/39_1003767b-23f0-4105-ac66-fa4f7fee3c92.png?v=1776631855,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
relaxed-fit-polo-t-shirt-white,,,,,,,,,l,,,,,,,,RG-PO-TS-BRG-L,100.0,shopify,19,deny,manual,650.00,,true,false,,,,,"",https://cdn.shopify.com/s/files/1/0609/9238/9206/files/40_2544326f-8d43-4fd3-847b-be9922a3ebd7.png?v=1776631855,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
relaxed-fit-polo-t-shirt-white,,,,,,,,,xl,,,,,,,,RG-PO-TS-BRG-XL,100.0,shopify,49,deny,manual,650.00,,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
relaxed-fit-polo-t-shirt-white,,,,,,,,,2xl,,,,,,,,RG-PO-TS-BRG-2XL,100.0,shopify,49,deny,manual,650.00,,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
oversized-heavy-unisex-t-shirt-white,Oversized Heavy Unisex T-Shirt - White,"<p>Elevate your wardrobe with the Heavy-Weight Boxy Unisex T-Shirt. Built to last beyond the season, made out of 100% cotton with a heavy, premium feel. Designed for comfort and everyday wear.</p>
<p>High Quality: 100% Boulevard Cotton<br>Fabric weight: 260 GSM<br>Fit: Oversized fit<br>Gender: Unisex</p>
<p><strong>Size Chart</strong><strong><img src=""https://cdn.shopify.com/s/files/1/0609/9238/9206/files/Size_Chart_Template_4.png?v=1776815042"" alt=""""></strong></p>",Leveld,Apparel & Accessories > Clothing > Clothing Tops > T-Shirts,Basic Oversized T-Shirt,Basic,true,Size,s,product.metafields.shopify.size,,,,,,,,100.0,shopify,-1,deny,manual,750.00,,true,false,,,,,"",https://cdn.shopify.com/s/files/1/0609/9238/9206/files/BoxyFit-White_4.png?v=1776548726,1,"",false,,,,,adult,,,,,,,,,,'1,,,adults,,,white,cotton,,crew,,s; m; l; xl; 2xl,short,unisex,medium,,,,,,,kg,,,active
