ProcurementKey,DateKey,SupplierKey,ProductKey,QuantityRequested,UnitCost,TotalCost,LeadTimeDays,ReceivedDateKey,Status
54,20230521,1,4,50,549.45,27472.500000000004,10.0,20230531.0,Received
55,20230730,1,4,50,549.45,27472.500000000004,11.0,20230810.0,Received
56,20230916,1,4,50,549.45,27472.500000000004,8.0,20230924.0,Received
57,20231101,1,4,50,549.45,27472.500000000004,10.0,20231111.0,Received
58,20240118,1,4,50,549.45,27472.500000000004,8.0,20240126.0,Received
59,20240401,1,4,50,549.45,27472.500000000004,,,Confirmed
60,20240624,1,4,50,549.45,27472.500000000004,11.0,20240705.0,Received
61,20240902,1,4,50,549.45,27472.500000000004,9.0,20240911.0,Received
62,20241104,1,4,50,549.45,27472.500000000004,8.0,20241112.0,Received
63,20250126,1,4,50,549.45,27472.500000000004,6.0,20250201.0,Received
64,20250407,1,4,50,549.45,27472.500000000004,11.0,20250418.0,Received
65,20250630,1,4,50,549.45,27472.500000000004,5.0,20250705.0,Received
66,20250917,1,4,50,549.45,27472.500000000004,5.0,20250922.0,Received
67,20251210,1,4,50,549.45,27472.500000000004,6.0,20251216.0,Received
68,20230215,1,5,50,272.06165413533836,13603.082706766918,8.0,20230223.0,Received
69,20230413,1,5,50,272.06165413533836,13603.082706766918,11.0,20230424.0,Received
70,20230601,1,5,50,272.06165413533836,13603.082706766918,9.0,20230610.0,Received
71,20230724,1,5,50,272.06165413533836,13603.082706766918,8.0,20230801.0,Received
72,20231015,1,5,50,272.06165413533836,13603.082706766918,,,Confirmed
73,20231224,1,5,50,272.06165413533836,13603.082706766918,5.0,20231229.0,Received
74,20240225,1,5,50,272.06165413533836,13603.082706766918,9.0,20240305.0,Received
75,20240411,1,5,50,272.06165413533836,13603.082706766918,6.0,20240417.0,Received
76,20240608,1,5,50,272.06165413533836,13603.082706766918,8.0,20240616.0,Received
77,20240815,1,5,50,272.06165413533836,13603.082706766918,,,Confirmed
78,20240929,1,5,50,272.06165413533836,13603.082706766918,8.0,20241007.0,Received
79,20241127,1,5,50,272.06165413533836,13603.082706766918,5.0,20241202.0,Received
80,20250217,1,5,50,272.06165413533836,13603.082706766918,7.0,20250224.0,Received
81,20250413,1,5,50,272.06165413533836,13603.082706766918,11.0,20250424.0,Received
82,20250608,1,5,50,272.06165413533836,13603.082706766918,7.0,20250615.0,Received
83,20250903,1,5,50,272.06165413533836,13603.082706766918,9.0,20250912.0,Received
84,20251117,1,5,50,272.06165413533836,13603.082706766918,6.0,20251123.0,Received
85,20230322,1,6,50,247.50000000000003,12375.000000000002,7.0,20230329.0,Received
86,20230512,1,6,50,247.50000000000003,12375.000000000002,6.0,20230518.0,Received
87,20230708,1,6,50,247.50000000000003,12375.000000000002,10.0,20230718.0,Received
88,20230916,1,6,50,247.50000000000003,12375.000000000002,6.0,20230922.0,Received
89,20231118,1,6,50,247.50000000000003,12375.000000000002,8.0,20231126.0,Received
90,20240111,1,6,50,247.50000000000003,12375.000000000002,9.0,20240120.0,Received
91,20240225,1,6,50,247.50000000000003,12375.000000000002,5.0,20240301.0,Received
92,20240424,1,6,50,247.50000000000003,12375.000000000002,10.0,20240504.0,Received
93,20240615,1,6,50,247.50000000000003,12375.000000000002,,,Confirmed
94,20240910,1,6,50,247.50000000000003,12375.000000000002,10.0,20240920.0,Received
95,20241113,1,6,50,247.50000000000003,12375.000000000002,6.0,20241119.0,Received
96,20250202,1,6,50,247.50000000000003,12375.000000000002,9.0,20250211.0,Received
97,20250411,1,6,50,247.50000000000003,12375.000000000002,8.0,20250419.0,Received
98,20250529,1,6,50,247.50000000000003,12375.000000000002,6.0,20250604.0,Received
99,20250714,1,6,50,247.50000000000003,12375.000000000002,11.0,20250725.0,Received
100,20250922,1,6,50,247.50000000000003,12375.000000000002,10.0,20251002.0,Received
101,20251207,1,6,50,247.50000000000003,12375.000000000002,8.0,20251215.0,Received
102,20230322,1,7,50,247.50000000000003,12375.000000000002,8.0,20230330.0,Received
103,20230619,1,7,50,247.50000000000003,12375.000000000002,6.0,20230625.0,Received
104,20230805,1,7,50,247.50000000000003,12375.000000000002,,,Cancelled
105,20231017,1,7,50,247.50000000000003,12375.000000000002,,,Confirmed
106,20240103,1,7,50,247.50000000000003,12375.000000000002,5.0,20240108.0,Received
107,20240330,1,7,50,247.50000000000003,12375.000000000002,7.0,20240406.0,Received
108,20240620,1,7,50,247.50000000000003,12375.000000000002,5.0,20240625.0,Received
109,20240904,1,7,50,247.50000000000003,12375.000000000002,6.0,20240910.0,Received
110,20241103,1,7,50,247.50000000000003,12375.000000000002,9.0,20241112.0,Received
111,20250119,1,7,50,247.50000000000003,12375.000000000002,5.0,20250124.0,Received
112,20250330,1,7,50,247.50000000000003,12375.000000000002,10.0,20250409.0,Received
113,20250531,1,7,50,247.50000000000003,12375.000000000002,9.0,20250609.0,Received
114,20250802,1,7,50,247.50000000000003,12375.000000000002,11.0,20250813.0,Received
115,20251020,1,7,50,247.50000000000003,12375.000000000002,5.0,20251025.0,Received
116,20260114,1,7,50,247.50000000000003,12375.000000000002,9.0,20260123.0,Received
117,20230310,1,8,50,247.50000000000003,12375.000000000002,8.0,20230318.0,Received
118,20230522,1,8,50,247.50000000000003,12375.000000000002,7.0,20230529.0,Received
119,20230727,1,8,50,247.50000000000003,12375.000000000002,5.0,20230801.0,Received
120,20230915,1,8,50,247.50000000000003,12375.000000000002,6.0,20230921.0,Received
121,20231107,1,8,50,247.50000000000003,12375.000000000002,9.0,20231116.0,Received
122,20240128,1,8,50,247.50000000000003,12375.000000000002,7.0,20240204.0,Received
123,20240324,1,8,50,247.50000000000003,12375.000000000002,10.0,20240403.0,Received
124,20240520,1,8,50,247.50000000000003,12375.000000000002,9.0,20240529.0,Received
125,20240724,1,8,50,247.50000000000003,12375.000000000002,10.0,20240803.0,Received
126,20240911,1,8,50,247.50000000000003,12375.000000000002,6.0,20240917.0,Received
127,20241112,1,8,50,247.50000000000003,12375.000000000002,7.0,20241119.0,Received
128,20250120,1,8,50,247.50000000000003,12375.000000000002,8.0,20250128.0,Received
129,20250318,1,8,50,247.50000000000003,12375.000000000002,5.0,20250323.0,Received
130,20250605,1,8,50,247.50000000000003,12375.000000000002,7.0,20250612.0,Received
131,20250817,1,8,50,247.50000000000003,12375.000000000002,10.0,20250827.0,Received
132,20251025,1,8,50,247.50000000000003,12375.000000000002,,,Confirmed
133,20260120,1,8,50,247.50000000000003,12375.000000000002,7.0,20260127.0,Received
134,20230218,1,9,50,385.00000000000006,19250.000000000004,10.0,20230228.0,Received
135,20230430,1,9,50,385.00000000000006,19250.000000000004,5.0,20230505.0,Received
136,20230702,1,9,50,385.00000000000006,19250.000000000004,9.0,20230711.0,Received
137,20230927,1,9,50,385.00000000000006,19250.000000000004,11.0,20231008.0,Received
138,20231124,1,9,50,385.00000000000006,19250.000000000004,5.0,20231129.0,Received
139,20240213,1,9,50,385.00000000000006,19250.000000000004,6.0,20240219.0,Received
140,20240424,1,9,50,385.00000000000006,19250.000000000004,7.0,20240501.0,Received
141,20240611,1,9,50,385.00000000000006,19250.000000000004,9.0,20240620.0,Received
142,20240819,1,9,50,385.00000000000006,19250.000000000004,5.0,20240824.0,Received
143,20241108,1,9,50,385.00000000000006,19250.000000000004,9.0,20241117.0,Received
144,20250131,1,9,50,385.00000000000006,19250.000000000004,7.0,20250207.0,Received
145,20250319,1,9,50,385.00000000000006,19250.000000000004,7.0,20250326.0,Received
146,20250614,1,9,50,385.00000000000006,19250.000000000004,7.0,20250621.0,Received
147,20250818,1,9,50,385.00000000000006,19250.000000000004,10.0,20250828.0,Received
148,20251026,1,9,50,385.00000000000006,19250.000000000004,,,Confirmed
149,20260101,1,9,50,385.00000000000006,19250.000000000004,9.0,20260110.0,Received
150,20230302,1,10,50,385.00000000000006,19250.000000000004,,,Confirmed
151,20230523,1,10,50,385.00000000000006,19250.000000000004,7.0,20230530.0,Received
152,20230818,1,10,50,385.00000000000006,19250.000000000004,,,Cancelled
153,20231009,1,10,50,385.00000000000006,19250.000000000004,,,Confirmed
154,20231128,1,10,50,385.00000000000006,19250.000000000004,11.0,20231209.0,Received
155,20240120,1,10,50,385.00000000000006,19250.000000000004,7.0,20240127.0,Received
156,20240307,1,10,50,385.00000000000006,19250.000000000004,5.0,20240312.0,Received
157,20240518,1,10,50,385.00000000000006,19250.000000000004,10.0,20240528.0,Received
158,20240703,1,10,50,385.00000000000006,19250.000000000004,6.0,20240709.0,Received
159,20240825,1,10,50,385.00000000000006,19250.000000000004,5.0,20240830.0,Received
160,20241021,1,10,50,385.00000000000006,19250.000000000004,10.0,20241031.0,Received
161,20241214,1,10,50,385.00000000000006,19250.000000000004,7.0,20241221.0,Received
162,20250312,1,10,50,385.00000000000006,19250.000000000004,10.0,20250322.0,Received
163,20250525,1,10,50,385.00000000000006,19250.000000000004,11.0,20250605.0,Received
164,20250725,1,10,50,385.00000000000006,19250.000000000004,,,Confirmed
165,20250913,1,10,50,385.00000000000006,19250.000000000004,10.0,20250923.0,Received
166,20251127,1,10,50,385.00000000000006,19250.000000000004,9.0,20251206.0,Received
167,20230228,1,11,50,385.00000000000006,19250.000000000004,7.0,20230307.0,Received
168,20230504,1,11,50,385.00000000000006,19250.000000000004,6.0,20230510.0,Received
169,20230726,1,11,50,385.00000000000006,19250.000000000004,5.0,20230731.0,Received
170,20231013,1,11,50,385.00000000000006,19250.000000000004,10.0,20231023.0,Received
171,20240108,1,11,50,385.00000000000006,19250.000000000004,6.0,20240114.0,Received
172,20240327,1,11,50,385.00000000000006,19250.000000000004,6.0,20240402.0,Received
173,20240517,1,11,50,385.00000000000006,19250.000000000004,11.0,20240528.0,Received
174,20240704,1,11,50,385.00000000000006,19250.000000000004,,,Cancelled
175,20240824,1,11,50,385.00000000000006,19250.000000000004,9.0,20240902.0,Received
176,20241101,1,11,50,385.00000000000006,19250.000000000004,6.0,20241107.0,Received
177,20250115,1,11,50,385.00000000000006,19250.000000000004,10.0,20250125.0,Received
178,20250407,1,11,50,385.00000000000006,19250.000000000004,9.0,20250416.0,Received
179,20250609,1,11,50,385.00000000000006,19250.000000000004,9.0,20250618.0,Received
180,20250804,1,11,50,385.00000000000006,19250.000000000004,,,Cancelled
181,20250930,1,11,50,385.00000000000006,19250.000000000004,11.0,20251011.0,Received
182,20251201,1,11,50,385.00000000000006,19250.000000000004,,,Confirmed
183,20230316,1,12,50,385.00000000000006,19250.000000000004,10.0,20230326.0,Received
184,20230613,1,12,50,385.00000000000006,19250.000000000004,11.0,20230624.0,Received
185,20230909,1,12,50,385.00000000000006,19250.000000000004,5.0,20230914.0,Received
186,20231128,1,12,50,385.00000000000006,19250.000000000004,,,Confirmed
187,20240210,1,12,50,385.00000000000006,19250.000000000004,8.0,20240218.0,Received
188,20240406,1,12,50,385.00000000000006,19250.000000000004,5.0,20240411.0,Received
189,20240615,1,12,50,385.00000000000006,19250.000000000004,9.0,20240624.0,Received
190,20240811,1,12,50,385.00000000000006,19250.000000000004,10.0,20240821.0,Received
191,20241007,1,12,50,385.00000000000006,19250.000000000004,7.0,20241014.0,Received
192,20241225,1,12,50,385.00000000000006,19250.000000000004,5.0,20241230.0,Received
193,20250215,1,12,50,385.00000000000006,19250.000000000004,7.0,20250222.0,Received
194,20250401,1,12,50,385.00000000000006,19250.000000000004,,,Confirmed
195,20250607,1,12,50,385.00000000000006,19250.000000000004,8.0,20250615.0,Received
196,20250814,1,12,50,385.00000000000006,19250.000000000004,11.0,20250825.0,Received
197,20251025,1,12,50,385.00000000000006,19250.000000000004,11.0,20251105.0,Received
198,20251218,1,12,50,385.00000000000006,19250.000000000004,5.0,20251223.0,Received
199,20230317,1,13,50,385.00000000000006,19250.000000000004,,,Confirmed
200,20230603,1,13,50,385.00000000000006,19250.000000000004,10.0,20230613.0,Received
201,20230730,1,13,50,385.00000000000006,19250.000000000004,,,Cancelled
202,20231025,1,13,50,385.00000000000006,19250.000000000004,7.0,20231101.0,Received
203,20231221,1,13,50,385.00000000000006,19250.000000000004,5.0,20231226.0,Received
204,20240304,1,13,50,385.00000000000006,19250.000000000004,5.0,20240309.0,Received
205,20240524,1,13,50,385.00000000000006,19250.000000000004,8.0,20240601.0,Received
206,20240815,1,13,50,385.00000000000006,19250.000000000004,11.0,20240826.0,Received
207,20241028,1,13,50,385.00000000000006,19250.000000000004,9.0,20241106.0,Received
208,20250115,1,13,50,385.00000000000006,19250.000000000004,7.0,20250122.0,Received
209,20250302,1,13,50,385.00000000000006,19250.000000000004,8.0,20250310.0,Received
210,20250530,1,13,50,385.00000000000006,19250.000000000004,5.0,20250604.0,Received
211,20250822,1,13,50,385.00000000000006,19250.000000000004,6.0,20250828.0,Received
212,20251114,1,13,50,385.00000000000006,19250.000000000004,7.0,20251121.0,Received
213,20260131,1,13,50,385.00000000000006,19250.000000000004,9.0,20260209.0,Received
214,20230320,1,14,50,462.52136599320585,23126.06829966029,10.0,20230330.0,Received
215,20230608,1,14,50,462.52136599320585,23126.06829966029,6.0,20230614.0,Received
216,20230819,1,14,50,462.52136599320585,23126.06829966029,6.0,20230825.0,Received
217,20231027,1,14,50,462.52136599320585,23126.06829966029,11.0,20231107.0,Received
218,20240119,1,14,50,462.52136599320585,23126.06829966029,8.0,20240127.0,Received
219,20240309,1,14,50,462.52136599320585,23126.06829966029,6.0,20240315.0,Received
220,20240515,1,14,50,462.52136599320585,23126.06829966029,7.0,20240522.0,Received
221,20240809,1,14,50,462.52136599320585,23126.06829966029,10.0,20240819.0,Received
222,20240926,1,14,50,462.52136599320585,23126.06829966029,8.0,20241004.0,Received
223,20241117,1,14,50,462.52136599320585,23126.06829966029,,,Confirmed
224,20250207,1,14,50,462.52136599320585,23126.06829966029,6.0,20250213.0,Received
225,20250412,1,14,50,462.52136599320585,23126.06829966029,5.0,20250417.0,Received
226,20250606,1,14,50,462.52136599320585,23126.06829966029,9.0,20250615.0,Received
227,20250831,1,14,50,462.52136599320585,23126.06829966029,10.0,20250910.0,Received
228,20251022,1,14,50,462.52136599320585,23126.06829966029,,,Cancelled
229,20251209,1,14,50,462.52136599320585,23126.06829966029,7.0,20251216.0,Received
230,20260126,1,14,50,462.52136599320585,23126.06829966029,8.0,20260203.0,Received
231,20230314,1,15,50,357.50000000000006,17875.000000000004,8.0,20230322.0,Received
232,20230429,1,15,50,357.50000000000006,17875.000000000004,6.0,20230505.0,Received
233,20230627,1,15,50,357.50000000000006,17875.000000000004,8.0,20230705.0,Received
234,20230827,1,15,50,357.50000000000006,17875.000000000004,11.0,20230907.0,Received
235,20231108,1,15,50,357.50000000000006,17875.000000000004,6.0,20231114.0,Received
236,20240111,1,15,50,357.50000000000006,17875.000000000004,9.0,20240120.0,Received
237,20240306,1,15,50,357.50000000000006,17875.000000000004,6.0,20240312.0,Received
238,20240530,1,15,50,357.50000000000006,17875.000000000004,11.0,20240610.0,Received
239,20240728,1,15,50,357.50000000000006,17875.000000000004,9.0,20240806.0,Received
240,20241023,1,15,50,357.50000000000006,17875.000000000004,7.0,20241030.0,Received
241,20241225,1,15,50,357.50000000000006,17875.000000000004,8.0,20250102.0,Received
242,20250322,1,15,50,357.50000000000006,17875.000000000004,9.0,20250331.0,Received
243,20250608,1,15,50,357.50000000000006,17875.000000000004,7.0,20250615.0,Received
244,20250816,1,15,50,357.50000000000006,17875.000000000004,7.0,20250823.0,Received
245,20251023,1,15,50,357.50000000000006,17875.000000000004,10.0,20251102.0,Received
246,20260113,1,15,50,357.50000000000006,17875.000000000004,9.0,20260122.0,Received
247,20230312,1,16,50,357.50000000000006,17875.000000000004,10.0,20230322.0,Received
248,20230513,1,16,50,357.50000000000006,17875.000000000004,5.0,20230518.0,Received
249,20230723,1,16,50,357.50000000000006,17875.000000000004,8.0,20230731.0,Received
250,20230928,1,16,50,357.50000000000006,17875.000000000004,7.0,20231005.0,Received
251,20231113,1,16,50,357.50000000000006,17875.000000000004,8.0,20231121.0,Received
252,20240110,1,16,50,357.50000000000006,17875.000000000004,8.0,20240118.0,Received
253,20240309,1,16,50,357.50000000000006,17875.000000000004,5.0,20240314.0,Received
254,20240507,1,16,50,357.50000000000006,17875.000000000004,7.0,20240514.0,Received
255,20240630,1,16,50,357.50000000000006,17875.000000000004,10.0,20240710.0,Received
256,20240815,1,16,50,357.50000000000006,17875.000000000004,,,Cancelled
257,20241010,1,16,50,357.50000000000006,17875.000000000004,10.0,20241020.0,Received
258,20241212,1,16,50,357.50000000000006,17875.000000000004,5.0,20241217.0,Received
259,20250304,1,16,50,357.50000000000006,17875.000000000004,8.0,20250312.0,Received
260,20250512,1,16,50,357.50000000000006,17875.000000000004,9.0,20250521.0,Received
261,20250708,1,16,50,357.50000000000006,17875.000000000004,5.0,20250713.0,Received
262,20250918,1,16,50,357.50000000000006,17875.000000000004,10.0,20250928.0,Received
263,20251205,1,16,50,357.50000000000006,17875.000000000004,5.0,20251210.0,Received
264,20230227,1,17,50,357.50000000000006,17875.000000000004,8.0,20230307.0,Received
265,20230525,1,17,50,357.50000000000006,17875.000000000004,,,Confirmed
266,20230710,1,17,50,357.50000000000006,17875.000000000004,,,Cancelled
267,20230831,1,17,50,357.50000000000006,17875.000000000004,8.0,20230908.0,Received
268,20231118,1,17,50,357.50000000000006,17875.000000000004,,,Confirmed
269,20240108,1,17,50,357.50000000000006,17875.000000000004,6.0,20240114.0,Received
270,20240318,1,17,50,357.50000000000006,17875.000000000004,7.0,20240325.0,Received
271,20240514,1,17,50,357.50000000000006,17875.000000000004,5.0,20240519.0,Received
272,20240706,1,17,50,357.50000000000006,17875.000000000004,5.0,20240711.0,Received
273,20240928,1,17,50,357.50000000000006,17875.000000000004,6.0,20241004.0,Received
274,20241210,1,17,50,357.50000000000006,17875.000000000004,,,Confirmed
275,20250305,1,17,50,357.50000000000006,17875.000000000004,8.0,20250313.0,Received
276,20250515,1,17,50,357.50000000000006,17875.000000000004,8.0,20250523.0,Received
277,20250704,1,17,50,357.50000000000006,17875.000000000004,10.0,20250714.0,Received
278,20250820,1,17,50,357.50000000000006,17875.000000000004,10.0,20250830.0,Received
279,20251010,1,17,50,357.50000000000006,17875.000000000004,10.0,20251020.0,Received
280,20251203,1,17,50,357.50000000000006,17875.000000000004,,,Cancelled
281,20260127,1,17,50,357.50000000000006,17875.000000000004,9.0,20260205.0,Received
282,20230323,1,18,50,357.50000000000006,17875.000000000004,10.0,20230402.0,Received
283,20230514,1,18,50,357.50000000000006,17875.000000000004,11.0,20230525.0,Received
284,20230731,1,18,50,357.50000000000006,17875.000000000004,11.0,20230811.0,Received
285,20231011,1,18,50,357.50000000000006,17875.000000000004,5.0,20231016.0,Received
286,20231127,1,18,50,357.50000000000006,17875.000000000004,5.0,20231202.0,Received
287,20240213,1,18,50,357.50000000000006,17875.000000000004,7.0,20240220.0,Received
288,20240427,1,18,50,357.50000000000006,17875.000000000004,9.0,20240506.0,Received
289,20240713,1,18,50,357.50000000000006,17875.000000000004,9.0,20240722.0,Received
290,20240923,1,18,50,357.50000000000006,17875.000000000004,7.0,20240930.0,Received
291,20241210,1,18,50,357.50000000000006,17875.000000000004,5.0,20241215.0,Received
292,20250227,1,18,50,357.50000000000006,17875.000000000004,5.0,20250304.0,Received
293,20250523,1,18,50,357.50000000000006,17875.000000000004,11.0,20250603.0,Received
294,20250814,1,18,50,357.50000000000006,17875.000000000004,7.0,20250821.0,Received
295,20251103,1,18,50,357.50000000000006,17875.000000000004,10.0,20251113.0,Received
296,20260110,1,18,50,357.50000000000006,17875.000000000004,7.0,20260117.0,Received
297,20230215,1,19,50,462.52136599320585,23126.06829966029,6.0,20230221.0,Received
298,20230409,1,19,50,462.52136599320585,23126.06829966029,,,Cancelled
299,20230612,1,19,50,462.52136599320585,23126.06829966029,8.0,20230620.0,Received
300,20230809,1,19,50,462.52136599320585,23126.06829966029,10.0,20230819.0,Received
301,20230929,1,19,50,462.52136599320585,23126.06829966029,9.0,20231008.0,Received
302,20231209,1,19,50,462.52136599320585,23126.06829966029,11.0,20231220.0,Received
303,20240127,1,19,50,462.52136599320585,23126.06829966029,6.0,20240202.0,Received
304,20240401,1,19,50,462.52136599320585,23126.06829966029,5.0,20240406.0,Received
305,20240608,1,19,50,462.52136599320585,23126.06829966029,5.0,20240613.0,Received
306,20240803,1,19,50,462.52136599320585,23126.06829966029,7.0,20240810.0,Received
307,20241014,1,19,50,462.52136599320585,23126.06829966029,5.0,20241019.0,Received
308,20241216,1,19,50,462.52136599320585,23126.06829966029,11.0,20241227.0,Received
309,20250302,1,19,50,462.52136599320585,23126.06829966029,11.0,20250313.0,Received
310,20250423,1,19,50,462.52136599320585,23126.06829966029,10.0,20250503.0,Received
311,20250617,1,19,50,462.52136599320585,23126.06829966029,7.0,20250624.0,Received
312,20250822,1,19,50,462.52136599320585,23126.06829966029,11.0,20250902.0,Received
313,20251007,1,19,50,462.52136599320585,23126.06829966029,7.0,20251014.0,Received
314,20251217,1,19,50,462.52136599320585,23126.06829966029,11.0,20251228.0,Received
315,20230223,1,20,50,357.50000000000006,17875.000000000004,7.0,20230302.0,Received
316,20230426,1,20,50,357.50000000000006,17875.000000000004,11.0,20230507.0,Received
317,20230722,1,20,50,357.50000000000006,17875.000000000004,5.0,20230727.0,Received
318,20230915,1,20,50,357.50000000000006,17875.000000000004,5.0,20230920.0,Received
319,20231122,1,20,50,357.50000000000006,17875.000000000004,9.0,20231201.0,Received
320,20240202,1,20,50,357.50000000000006,17875.000000000004,6.0,20240208.0,Received
321,20240405,1,20,50,357.50000000000006,17875.000000000004,5.0,20240410.0,Received
322,20240605,1,20,50,357.50000000000006,17875.000000000004,10.0,20240615.0,Received
323,20240822,1,20,50,357.50000000000006,17875.000000000004,10.0,20240901.0,Received
324,20241102,1,20,50,357.50000000000006,17875.000000000004,5.0,20241107.0,Received
325,20250120,1,20,50,357.50000000000006,17875.000000000004,10.0,20250130.0,Received
326,20250314,1,20,50,357.50000000000006,17875.000000000004,6.0,20250320.0,Received
327,20250523,1,20,50,357.50000000000006,17875.000000000004,9.0,20250601.0,Received
328,20250707,1,20,50,357.50000000000006,17875.000000000004,7.0,20250714.0,Received
329,20250914,1,20,50,357.50000000000006,17875.000000000004,6.0,20250920.0,Received
330,20251101,1,20,50,357.50000000000006,17875.000000000004,5.0,20251106.0,Received
331,20260122,1,20,50,357.50000000000006,17875.000000000004,,,Confirmed
332,20230327,1,21,50,357.50000000000006,17875.000000000004,7.0,20230403.0,Received
333,20230602,1,21,50,357.50000000000006,17875.000000000004,,,Confirmed
334,20230823,1,21,50,357.50000000000006,17875.000000000004,8.0,20230831.0,Received
335,20231018,1,21,50,357.50000000000006,17875.000000000004,6.0,20231024.0,Received
336,20231208,1,21,50,357.50000000000006,17875.000000000004,5.0,20231213.0,Received
337,20240212,1,21,50,357.50000000000006,17875.000000000004,8.0,20240220.0,Received
338,20240411,1,21,50,357.50000000000006,17875.000000000004,6.0,20240417.0,Received
339,20240604,1,21,50,357.50000000000006,17875.000000000004,7.0,20240611.0,Received
340,20240803,1,21,50,357.50000000000006,17875.000000000004,5.0,20240808.0,Received
341,20241010,1,21,50,357.50000000000006,17875.000000000004,8.0,20241018.0,Received
342,20241125,1,21,50,357.50000000000006,17875.000000000004,7.0,20241202.0,Received
343,20250212,1,21,50,357.50000000000006,17875.000000000004,8.0,20250220.0,Received
344,20250504,1,21,50,357.50000000000006,17875.000000000004,,,Confirmed
345,20250626,1,21,50,357.50000000000006,17875.000000000004,6.0,20250702.0,Received
346,20250904,1,21,50,357.50000000000006,17875.000000000004,10.0,20250914.0,Received
347,20251021,1,21,50,357.50000000000006,17875.000000000004,6.0,20251027.0,Received
348,20260115,1,21,50,357.50000000000006,17875.000000000004,7.0,20260122.0,Received
